Text,Label
Can I have meeting with coretta,appointment_with_Academic_advisor
Can I have appointment with coretta,appointment_with_Academic_advisor
Can I have an appointment with acadamic advisor,appointment_with_Academic_advisor
how many slots available for batminton this week,To_book_a_slot_for_recreation
how many slots available for swimming this week,To_book_a_slot_for_recreation
how many slots available for vollyball this week,To_book_a_slot_for_recreation
how many slots available for Gym this week,To_book_a_slot_for_recreation
I need to book a slot for gym this week,To_book_a_slot_for_recreation
I need to book a slot for batminton this week,To_book_a_slot_for_recreation
please book a slot for batminton next week,To_book_a_slot_for_recreation
Could you please book 2 slots for batminton this week.,To_book_a_slot_for_recreation
what are all the available slots for gym,To_book_a_slot_for_recreation
available slots for batminton,To_book_a_slot_for_recreation
available slots for swimming,To_book_a_slot_for_recreation
available slots for picky ball,To_book_a_slot_for_recreation
looking to book 2 slots for batminton,To_book_a_slot_for_recreation
looking to book 2 slots for gym,To_book_a_slot_for_recreation
looking to book 2 slots for swimming,To_book_a_slot_for_recreation
looking to book 2 slots for pickyball,To_book_a_slot_for_recreation
looking to book 2 slots for vollyball,To_book_a_slot_for_recreation
looking to book 2 slots for basketball,To_book_a_slot_for_recreation
looking to book 3 slots for batminton,To_book_a_slot_for_recreation
looking to book 1 slots for gym,To_book_a_slot_for_recreation
looking to book 3 slots for swimming,To_book_a_slot_for_recreation
looking to book 4 slots for pickyball,To_book_a_slot_for_recreation
looking to book 1 slots for vollyball,To_book_a_slot_for_recreation
looking to book 1 slots for basketball,To_book_a_slot_for_recreation
Are there any slots available for Disc Golf,To_book_a_slot_for_recreation
Are there any slots available for Lindy Hop Club,To_book_a_slot_for_recreation
Are there any slots available for Salsa Dance,To_book_a_slot_for_recreation
Are there any slots available for Fishing Club,To_book_a_slot_for_recreation
Are there any slots available for Rugby Club.,To_book_a_slot_for_recreation
Are there any slots available for Triathlon Club,To_book_a_slot_for_recreation
Number of slots available for Rugby,To_book_a_slot_for_recreation
Number of slots available for Disc Golf,To_book_a_slot_for_recreation
Number of slots available for Lindy Hop,To_book_a_slot_for_recreation
Number of slots available for Fishing,To_book_a_slot_for_recreation
Number of slots available for Salsa Dance,To_book_a_slot_for_recreation
Number of slots available for Triathlon,To_book_a_slot_for_recreation
Number of slots available for MSOC Practice,To_book_a_slot_for_recreation
Number of slots available for Full Body Workout,To_book_a_slot_for_recreation
Number of slots available for Boot Camp,To_book_a_slot_for_recreation
Number of slots available for Yoga,To_book_a_slot_for_recreation
Number of slots available for Pilates ,To_book_a_slot_for_recreation
Are there any slots available for Pilates,To_book_a_slot_for_recreation
Are there any slots available for Full Body Workout,To_book_a_slot_for_recreation
Are there any slots available for Dance Fit,To_book_a_slot_for_recreation
Are there any slots available for Yoga,To_book_a_slot_for_recreation
Are there any slots available for Boot Camp,To_book_a_slot_for_recreation
Are there any slots available for Out Door Pursuits,To_book_a_slot_for_recreation
Are there any slots available for MSOC,To_book_a_slot_for_recreation
I'm here to book an slot for Boot Camp ,To_book_a_slot_for_recreation
I'm here to book an slot for Basket Ball ,To_book_a_slot_for_recreation
I'm here to book an slot for Volly Ball ,To_book_a_slot_for_recreation
I'm here to book an slot for Lindy Hop ,To_book_a_slot_for_recreation
I'm here to book an slot for  Yoga ,To_book_a_slot_for_recreation
I'm here to book an slot for Gym ,To_book_a_slot_for_recreation
I'm here to book an slot for Full Body Workout  ,To_book_a_slot_for_recreation
I'm here to book an slot for Swimming ,To_book_a_slot_for_recreation
I'm here to book an slot for Outdoor Pursuits ,To_book_a_slot_for_recreation
I'm here to book an slot for Aquatic center ,To_book_a_slot_for_recreation
what are all the available slots for gym,To_book_a_slot_for_recreation
I'm here to book an slot for Rugby,To_book_a_slot_for_recreation
What are all the available slots for gym,To_book_a_slot_for_recreation
What are all the available slots for Full Bpdy Workout,To_book_a_slot_for_recreation
What are all the available slots for Boot camp,To_book_a_slot_for_recreation
What are all the available slots for Volly Ball,To_book_a_slot_for_recreation
What are all the available slots for Picky Ball,To_book_a_slot_for_recreation
What are all the available slots for Basket Ball,To_book_a_slot_for_recreation
What are all the available slots for Disc Golf,To_book_a_slot_for_recreation
What are all the available slots for Swimming,To_book_a_slot_for_recreation
What are all the available slots for Dance Fit,To_book_a_slot_for_recreation
What are all the available slots for Yoga,To_book_a_slot_for_recreation
What are all the available slots for Dance Fit,To_book_a_slot_for_recreation
What are all the available slots for MSOC,To_book_a_slot_for_recreation
What are all the available slots for Pilates,To_book_a_slot_for_recreation
I wanted to book a slot for Workout,To_book_a_slot_for_recreation
I wanted to book a slot for Swimming,To_book_a_slot_for_recreation
I wanted to book a slot for Picky Ball ,To_book_a_slot_for_recreation
I wanted to book a slot for Dance fit,To_book_a_slot_for_recreation
I wanted to book a slot for Yoga,To_book_a_slot_for_recreation
I wanted to book a slot for Boot Camp ,To_book_a_slot_for_recreation
what are all the available slots for Aquatic Center,To_book_a_slot_for_recreation
I wanted to book a slot for MSOC ,To_book_a_slot_for_recreation
I wanted to book a slot for Outdoor Pursuits,To_book_a_slot_for_recreation
I wanted to book a slot for Volley Ball ,To_book_a_slot_for_recreation
I wanted to book a slot for Pilates,To_book_a_slot_for_recreation
How can I book the slots for Basket Ball,To_book_a_slot_for_recreation
How can I book the slots for Boot Camp,To_book_a_slot_for_recreation
How can I book the slots for Lidy Hop,To_book_a_slot_for_recreation
How can I book the slots for Rugby,To_book_a_slot_for_recreation
I wanted to book 2 slots for Boot Camp ,To_book_a_slot_for_recreation
How can I book the slots for Picky Ball,To_book_a_slot_for_recreation
How can I book the slots for Msoc,To_book_a_slot_for_recreation
How can I book the slots for Volley Ball,To_book_a_slot_for_recreation
How can I book the slots for Outdoor Pursuits,To_book_a_slot_for_recreation
How can I book the slots for Pilates,To_book_a_slot_for_recreation
How can I book the slots for Dance Fit,To_book_a_slot_for_recreation
How can I book the slots for Batminton,To_book_a_slot_for_recreation
How can I book the slots for Full Body Workout ,To_book_a_slot_for_recreation
How can I book the slots for Yoga,To_book_a_slot_for_recreation
How can I book the slots for Rugby,To_book_a_slot_for_recreation
How can I book the slots for Pilates,To_book_a_slot_for_recreation
How can I book the slots for Swimming,To_book_a_slot_for_recreation
How can I book the slots for Fishing,To_book_a_slot_for_recreation
I'm here to book 2 slots for Boot Camp ,To_book_a_slot_for_recreation
I'm here to book 2 slots for Basket Ball ,To_book_a_slot_for_recreation
I'm here to book 2 slots for Volly Ball ,To_book_a_slot_for_recreation
I'm here to book 2 slots for Lindy Hop ,To_book_a_slot_for_recreation
I'm here to book 2 slots for  Yoga ,To_book_a_slot_for_recreation
I'm here to book 2 slots for Gym ,To_book_a_slot_for_recreation
I'm here to book 2 slots for Full Body Workout  ,To_book_a_slot_for_recreation
I'm here to book 2 slots for Swimming ,To_book_a_slot_for_recreation
I'm here to book 2 slots for Outdoor Pursuits ,To_book_a_slot_for_recreation
I'm here to book 2 slots for Aquatic center ,To_book_a_slot_for_recreation
I'm here to book 2 slots for Fishing ,To_book_a_slot_for_recreation
I'm here to book 2 slots for Picky Ball ,To_book_a_slot_for_recreation
I'm here to book 2 slots for Pilates,To_book_a_slot_for_recreation
I'm here to book 2 slots for Rugby,To_book_a_slot_for_recreation
I would like to have an appointment with Coretta,appointment_with_Academic_advisor
How can I schedule an appointment with Lude,appointment_with_Academic_advisor
I'm looking  to fix an appointment with Coretta,appointment_with_Academic_advisor
I'm here to schedule an appointment with Coretta,appointment_with_Academic_advisor
How can I scmake an appointment with Coretta,appointment_with_Academic_advisor
Please schedule an appointmet with coretta,appointment_with_Academic_advisor
book an appointment with academic advisor,appointment_with_Academic_advisor
book an appointment with coretta,appointment_with_Academic_advisor
book an appointment with ludie,appointment_with_Academic_advisor
block a calender with ludie,appointment_with_Academic_advisor
wold like to book an appointment with Ludie,appointment_with_Academic_advisor
wold like to book an appointment with Ludie this week,appointment_with_Academic_advisor
Can I have meeting with coretta on  04/12/2021,appointment_with_Academic_advisor
Can I have appointment with coretta on 04/13/2021,appointment_with_Academic_advisor
Can I have an appointment with acadamic advisor on 04/15/2021,appointment_with_Academic_advisor
how many slots available for batminton this week on 04/12/2021,To_book_a_slot_for_recreation
how many slots available for swimming this week on 04/12/2021,To_book_a_slot_for_recreation
how many slots available for vollyball this week on 04/15/2021,To_book_a_slot_for_recreation
how many slots available for Gym this week on 04/20/2021,To_book_a_slot_for_recreation
I need to book a slot for gym this week on 04/20/2021,To_book_a_slot_for_recreation
I need to book a slot for batminton this week on 04/25/2021,To_book_a_slot_for_recreation
please book a slot for batminton next week on 04/30/2021,To_book_a_slot_for_recreation
Could you please book 2 slots for batminton this week.  04/22/2021,To_book_a_slot_for_recreation
what are all the available slots for gym on 04/15/2021,To_book_a_slot_for_recreation
available slots for batminton on 04/13/2021,To_book_a_slot_for_recreation
available slots for swimming on 04/14/2021,To_book_a_slot_for_recreation
available slots for picky ball on 04/20/2021,To_book_a_slot_for_recreation
looking to book 2 slots for batminton on 04/25/2021,To_book_a_slot_for_recreation
looking to book 2 slots for gym on 04/15/2021,To_book_a_slot_for_recreation
looking to book 2 slots for swimming on 05/01/2021,To_book_a_slot_for_recreation
looking to book 2 slots for pickyball on 05/05/2021,To_book_a_slot_for_recreation
looking to book 2 slots for vollyball on 05/02/2021,To_book_a_slot_for_recreation
looking to book 2 slots for basketball on 04/25/2021,To_book_a_slot_for_recreation
looking to book 3 slots for batminton on 05/05/2021,To_book_a_slot_for_recreation
looking to book 1 slots for gym on 05/15/2021,To_book_a_slot_for_recreation
looking to book 3 slots for swimming on 05/12/2021,To_book_a_slot_for_recreation
looking to book 4 slots for pickyball on 05/14/2021,To_book_a_slot_for_recreation
looking to book 1 slots for vollyball on 04/16/2021,To_book_a_slot_for_recreation
looking to book 1 slots for basketball on 04/18/2021,To_book_a_slot_for_recreation
Are there any slots available for Disc Golf on 04/19/2021,To_book_a_slot_for_recreation
Are there any slots available for Lindy Hop Club on 04/21/2021,To_book_a_slot_for_recreation
Are there any slots available for Salsa Dance on 04/31/2021,To_book_a_slot_for_recreation
Are there any slots available for Fishing Club on 05/25/2021,To_book_a_slot_for_recreation
Are there any slots available for Rugby Club. on 04/15/2021,To_book_a_slot_for_recreation
Are there any slots available for Triathlon Club on 04/15/2021,To_book_a_slot_for_recreation
Number of slots available for Rugby on 04/15/2021,To_book_a_slot_for_recreation
Number of slots available for Disc Golf on 04/15/2021,To_book_a_slot_for_recreation
Number of slots available for Lindy Hop on 04/15/2021,To_book_a_slot_for_recreation
Number of slots available for Fishing on 04/15/2021,To_book_a_slot_for_recreation
Number of slots available for Salsa Dance on 04/15/2021,To_book_a_slot_for_recreation
Number of slots available for Triathlon on 04/15/2021,To_book_a_slot_for_recreation
Number of slots available for MSOC Practice on 04/15/2021,To_book_a_slot_for_recreation
Number of slots available for Full Body Workout on 04/15/2021,To_book_a_slot_for_recreation
Number of slots available for Boot Camp on 04/15/2021,To_book_a_slot_for_recreation
Number of slots available for Yoga on 04/15/2021,To_book_a_slot_for_recreation
Number of slots available for Pilates on 04/15/2021,To_book_a_slot_for_recreation
Are there any slots available for Pilates on 04/15/2021,To_book_a_slot_for_recreation
Are there any slots available for Full Body Workout on 04/15/2021,To_book_a_slot_for_recreation
